Juicy,Doja Cat,49,183760,2097320,3.3833333333333333,rap,"Los Angeles, Los Angeles County, California, United States",25,solo,614557,30053118
Don't Start Now,Dua Lipa,49,457555,8720845,3.05,disco,"London, England, United Kingdom",25,solo,956351,76568596
The Carol,Loona,49,12840,97962,3.4333333333333336,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Where you at,Loona,49,22609,205650,3.45,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Ribs,Lorde,49,494884,5458278,4.3,synthpop,"Auckland, North Island, New Zealand",24,solo,1560795,100316725
Dolphin,OH MY GIRL,49,34305,392433,2.9333333333333336,k-pop,"Seoul, Korea, Republic of",5,band,96594,6137237
보름달,Sunmi,49,15430,106460,3.3833333333333333,k-pop,"Iksan, Jeollabuk-do, Korea, Republic of",28,solo,162636,7739455
We Fell In Love In October,girl in red,48,198857,1675116,3.066666666666667,indie pop,"Horten, Vestfold, Norway",21,solo,349164,8978901
WHY,Hwa Sa,48,14094,105173,3.35,k-pop,"Jeonju, Jeollabuk-do, Korea, Republic of",25,solo,120253,2638252
Eclipse,Loona,48,38633,454043,3.85,the type of song that when it comes on your back arches and your hands are on your knees throwing it back,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
frozen,LOOΠΔ / yyxy,47,1993,37667,3.45,k-pop,"Seoul, Korea, Republic of",2,band,4252,213649
Pacemaker,Stray Kids,47,21654,259811,3.1666666666666665,gostosa,"Seoul, Korea, Republic of",3,band,148884,23457226
AS IF IT'S YOUR LAST,BLACKPINK,46,147644,2978011,3.55,kpop,"Seoul, Korea, Republic of",4,band,443371,59627899
No,CLC,46,47292,875795,3.0166666666666666,k-pop,"Seoul, Korea, Republic of",5,band,119178,7763360
Affluenza,Conan Gray,46,38495,331699,3.3166666666666664,indie,"San Diego, Duval County, Texas, United States",22,solo,384849,13703771
La Vie en Rose,IZ*ONE,46,65863,1519343,3.6333333333333333,k-pop,"Seoul, Korea, Republic of",2,band,102936,11987904
Paradise,Siyeon,46,7259,78472,4.05,korean,"Daegu, Korea, Republic of",25,solo,7504,97696
Oh! my mistake,April,45,36142,640372,3.4166666666666665,k-pop,0,0,0,91206,2453957
And there was no one left,Dreamcatcher,45,25478,308696,2.8666666666666667,liked,"Seoul, Korea, Republic of",4,band,121882,11246773
GxxD BOY,Everglow,45,19272,157199,0,k-pop,"Seoul, Korea, Republic of",2,band,140037,7579596
Singing in the Rain (진솔),Loona,45,170,1455,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Barbie Tingz,Nicki Minaj,45,95048,944526,3.183333333333333,rap,"Port of Spain, Trinidad, Trinidad and Tobago",38,solo,2327646,89606844
Dumb Dumb,Red Velvet,45,82046,1237613,3.3666666666666667,k-pop,0,0,0,263515,42577088
